2026-03-09 22:35:17.043 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.043 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.045 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.045 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.045 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.045 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.045 [pool-4-thread-5] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.046 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.046 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10961, shortCode=2q24D9SeDAs, longUrl=https://www.load-test--1773066917034-1282.com, urlHash=b2a55d2477f5247c0ce0b1dd3a7d38b5, status=1, expireTime=2026-03-16T22:35:17.034703, createTime=2026-03-09T22:35:17.041169700, updateTime=2026-03-09T22:35:17.041169700)
2026-03-09 22:35:17.046 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10963, shortCode=2q24D9SeDAt, longUrl=https://www.load-test--1773066917034-1284.com, urlHash=bdc78a97a78e2a3597983cf63b339aff, status=1, expireTime=2026-03-16T22:35:17.034703, createTime=2026-03-09T22:35:17.041169700, updateTime=2026-03-09T22:35:17.041169700)
2026-03-09 22:35:17.046 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10962, shortCode=2q24D9SeDAu, longUrl=https://www.load-test--1773066917034-1283.com, urlHash=2bdb617f821aec3023130426ef1eddc4, status=1, expireTime=2026-03-16T22:35:17.034703, createTime=2026-03-09T22:35:17.041169700, updateTime=2026-03-09T22:35:17.041169700)
2026-03-09 22:35:17.046 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10964, shortCode=2q24D9SweIw, longUrl=https://www.load-test--1773066917034-1285.com, urlHash=5bad40494ee5209d96bbe5f0b4c9592e, status=1, expireTime=2026-03-16T22:35:17.034703, createTime=2026-03-09T22:35:17.041169700, updateTime=2026-03-09T22:35:17.041169700)
2026-03-09 22:35:17.046 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10965, shortCode=2q24D9SweIx, longUrl=https://www.load-test--1773066917035-1286.com, urlHash=7d6e824b98b4d0898de5fe39f43514a2, status=1, expireTime=2026-03-16T22:35:17.035704100, createTime=2026-03-09T22:35:17.041169700, updateTime=2026-03-09T22:35:17.041169700)
2026-03-09 22:35:17.047 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Qx2O4
2026-03-09 22:35:17.047 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Qx2O5
2026-03-09 22:35:17.048 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.048 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.049 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.049 [pool-4-thread-33] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.049 [pool-4-thread-24] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.049 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9R6f4e
2026-03-09 22:35:17.049 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Qx2O8
2026-03-09 22:35:17.049 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Qx2O7
