2026-03-09 22:42:05.675 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12595, shortCode=2q257kFRmJq, longUrl=https://www.load-test--1773067325653-281.com, urlHash=8c6497a6a6aaadd24d94ce47944b0a72, status=1, expireTime=2026-03-16T22:42:05.653022900, createTime=2026-03-09T22:42:05.668126500, updateTime=2026-03-09T22:42:05.668126500)
2026-03-09 22:42:05.675 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12597, shortCode=2q257kGqyZz, longUrl=https://www.load-test--1773067325657-289.com, urlHash=4474d7fe5ab6e6f308499e16aea0f615, status=1, expireTime=2026-03-16T22:42:05.657033200, createTime=2026-03-09T22:42:05.670126, updateTime=2026-03-09T22:42:05.670126)
2026-03-09 22:42:05.676 [pool-4-thread-21] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12596, shortCode=2q257kG8XRv, longUrl=https://www.load-test--1773067325657-288.com, urlHash=daf775fa03a23eb6ca4dea9fc7678d68, status=1, expireTime=2026-03-16T22:42:05.657033200, createTime=2026-03-09T22:42:05.669129200, updateTime=2026-03-09T22:42:05.669129200)
2026-03-09 22:42:05.676 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzGV
2026-03-09 22:42:05.676 [pool-4-thread-13] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.676 [pool-4-thread-29] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.678 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12599, shortCode=2q257kHyXvR, longUrl=https://www.load-test--1773067325666-292.com, urlHash=7e26e73c5a7b9830b5de6e04dd628d2a, status=1, expireTime=2026-03-16T22:42:05.666125500, createTime=2026-03-09T22:42:05.673130100, updateTime=2026-03-09T22:42:05.673130100)
2026-03-09 22:42:05.679 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzGW
2026-03-09 22:42:05.679 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzH0
2026-03-09 22:42:05.679 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzH1
2026-03-09 22:42:05.679 [pool-4-thread-26] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzH3
2026-03-09 22:42:05.679 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.679 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.679 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzGU
2026-03-09 22:42:05.679 [pool-4-thread-3] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.679 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.679 [pool-4-thread-16] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzH4
2026-03-09 22:42:05.679 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzH5
2026-03-09 22:42:05.679 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzGZ
2026-03-09 22:42:05.680 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzH2
2026-03-09 22:42:05.680 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzGY
2026-03-09 22:42:05.680 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kE9LX2
2026-03-09 22:42:05.680 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kDAzGX
2026-03-09 22:42:05.680 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kE9LX3
2026-03-09 22:42:05.681 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12603, shortCode=2q257kHQyDS, longUrl=https://www.load-test--1773067325666-299.com, urlHash=cd3a2939bad6737237b7a0f85b42a682, status=1, expireTime=2026-03-16T22:42:05.666125500, createTime=2026-03-09T22:42:05.674602400, updateTime=2026-03-09T22:42:05.674602400)
2026-03-09 22:42:05.681 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12600, shortCode=2q257kHyXvQ, longUrl=https://www.load-test--1773067325666-294.com, urlHash=cbd9c66c6f2abb0efe2688e2e735872d, status=1, expireTime=2026-03-16T22:42:05.666125500, createTime=2026-03-09T22:42:05.673130100, updateTime=2026-03-09T22:42:05.673130100)
2026-03-09 22:42:05.681 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12607, shortCode=2q257kHQyDV, longUrl=https://www.load-test--1773067325666-296.com, urlHash=9d423cc092d6fac3b02bd87fea052e9b, status=1, expireTime=2026-03-16T22:42:05.666125500, createTime=2026-03-09T22:42:05.674602400, updateTime=2026-03-09T22:42:05.674602400)
2026-03-09 22:42:05.681 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12602, shortCode=2q257kHyXvO, longUrl=https://www.load-test--1773067325666-290.com, urlHash=4bcc383d5d67875361880486c487b8d5, status=1, expireTime=2026-03-16T22:42:05.666125500, createTime=2026-03-09T22:42:05.673130100, updateTime=2026-03-09T22:42:05.673130100)
2026-03-09 22:42:05.681 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12608, shortCode=2q257kHQyDT, longUrl=https://www.load-test--1773067325666-293.com, urlHash=e095ad267644fcf74245143c2f891a3f, status=1, expireTime=2026-03-16T22:42:05.666125500, createTime=2026-03-09T22:42:05.674602400, updateTime=2026-03-09T22:42:05.674602400)
